,Mode of Study,Level of Study,Gender,House Area,Are you take any loan/sponsorship?,Income per Month,Device used in doing online classes,Do you have any web camera?,Internet Access Facilities,Type of quota,Network Speed in your area,Network Service Provider,Stability of internet connection,How many people in your house?,Comfortability when doing online learning,Level of understanding in online learning.,Disruption level during online learning.,Which method of online learning do you prefer?
101,0,2,1,1,0,4,5,1,7,3,2,13,3,2,2,2,2,1
102,0,2,0,1,1,4,6,1,6,0,2,14,1,2,0,1,4,1
103,0,2,0,1,1,4,6,1,0,3,0,13,2,1,2,2,2,1
104,0,2,0,1,1,4,6,1,1,3,2,14,3,2,3,2,3,1
105,0,2,0,1,1,4,6,1,1,1,0,3,3,2,2,2,3,0
106,0,3,1,1,1,4,5,1,0,3,0,13,3,1,2,2,3,0
107,0,2,0,0,0,4,6,1,6,0,0,3,2,1,2,2,2,1
108,0,2,1,1,0,4,6,1,0,1,0,3,2,1,1,2,3,0
109,0,2,1,0,1,4,6,0,1,3,0,11,2,2,1,1,3,0
110,0,2,0,1,0,4,6,1,6,3,2,13,4,1,3,3,2,1
111,0,2,0,0,1,4,6,1,6,0,0,1,2,1,2,2,2,1
112,0,2,0,0,1,4,3,1,5,3,2,7,2,1,2,2,2,1
113,0,2,1,0,1,4,2,1,6,1,0,2,2,1,1,1,2,0
114,0,3,0,1,1,4,6,1,0,3,0,13,2,2,1,1,3,1
115,0,2,1,1,0,4,6,0,6,3,2,4,3,1,1,1,3,1
116,0,2,0,1,0,4,6,1,6,3,0,3,3,2,3,3,2,0
117,0,2,1,1,1,4,6,0,5,3,2,1,2,1,2,2,2,1
118,0,2,0,1,0,4,6,1,6,1,0,1,2,1,2,2,2,1
119,0,2,1,1,1,2,5,1,4,0,1,3,0,1,0,0,0,1
120,0,2,1,1,0,4,6,1,0,3,2,13,3,2,3,2,1,0
121,0,3,1,1,1,4,6,1,1,1,0,7,2,1,3,1,1,0
122,0,2,0,1,0,4,6,0,6,1,1,1,2,1,2,2,2,1
123,0,3,0,1,0,4,6,1,1,3,2,13,2,1,1,1,2,0
124,0,2,0,1,1,4,6,1,6,3,0,13,2,2,2,0,3,1
125,0,2,1,0,0,2,5,0,7,2,2,1,4,1,4,2,3,1
126,0,2,0,0,1,4,6,1,1,0,0,7,3,2,2,1,3,0
127,0,3,1,1,0,4,3,1,7,2,2,3,3,1,2,2,2,1
128,0,2,1,1,0,4,6,1,1,0,2,11,2,1,2,2,2,1
129,1,3,1,1,0,0,5,0,0,3,1,3,2,2,2,2,2,0
130,0,2,0,0,1,4,6,1,1,3,0,13,2,1,4,2,1,0
131,0,2,0,1,0,4,6,0,6,3,0,1,2,1,2,2,2,1
132,0,2,0,1,0,4,6,1,1,2,2,1,2,1,2,2,1,0
133,0,2,0,1,1,4,6,1,6,1,2,18,2,1,2,2,2,1
134,0,2,0,0,1,4,6,1,0,1,0,13,2,1,2,2,2,1
135,0,2,1,1,0,4,6,1,4,1,0,11,2,1,2,2,2,1
136,0,2,1,1,1,4,5,0,0,2,1,2,2,1,2,2,2,1
137,0,2,0,1,1,4,6,1,1,3,0,13,2,1,2,2,2,1
138,0,2,0,1,0,0,0,0,5,3,2,3,2,2,2,2,0,1
139,0,2,0,0,0,4,6,1,6,0,2,3,3,2,2,1,4,0
140,0,2,1,0,1,4,6,0,6,3,2,3,2,1,2,2,2,1
141,0,2,1,0,0,4,6,1,1,2,1,1,1,1,2,2,2,1
142,0,2,1,1,0,3,2,1,5,2,2,2,4,2,1,0,1,1
143,0,3,0,1,1,4,6,1,6,3,2,13,2,2,2,1,2,1
144,1,4,1,1,0,3,5,1,1,3,2,1,4,2,3,3,3,1
145,0,3,0,1,1,4,7,1,5,1,2,3,3,2,2,2,3,0
146,0,3,1,0,1,0,6,1,7,1,1,11,1,1,1,1,1,1
147,0,3,0,1,0,4,6,1,5,0,0,7,3,1,3,3,1,1
148,0,3,0,0,0,4,5,1,4,0,0,2,2,1,2,2,2,0
149,0,3,0,1,0,4,0,0,3,3,2,2,2,1,3,2,1,1
150,0,2,1,1,1,4,6,1,6,1,0,11,2,1,2,2,2,1
151,0,2,1,1,0,4,5,1,0,1,2,3,2,1,2,2,2,1
152,0,2,1,0,0,4,5,1,1,0,1,3,1,2,1,2,3,0
153,0,2,1,1,1,4,6,1,1,0,0,11,2,1,2,2,2,1
154,0,2,0,0,1,4,6,1,0,0,0,3,2,1,2,2,2,1
155,0,2,1,0,0,2,6,1,1,1,0,11,2,2,2,2,2,1
156,0,2,1,1,1,1,6,0,7,3,0,14,2,1,2,1,3,1
157,0,2,0,0,1,4,6,1,0,3,1,23,2,1,2,2,2,1
158,0,2,1,1,0,4,4,1,7,1,2,13,3,1,2,2,0,0
159,1,2,0,1,1,4,6,0,1,1,2,13,2,2,2,1,1,1
160,0,2,1,1,0,4,6,1,5,2,2,1,3,2,1,2,3,1
161,0,3,0,0,1,4,8,1,0,0,0,3,2,2,1,1,3,1
162,0,2,1,1,0,2,6,1,6,0,2,3,2,1,1,1,1,1
163,0,2,0,1,1,2,5,0,7,1,2,1,0,1,4,2,2,1
164,0,2,1,0,0,0,5,0,4,3,2,1,0,1,0,0,0,1
165,0,3,1,1,0,2,6,1,1,1,2,3,3,2,3,3,3,1
166,0,2,1,1,0,4,6,1,5,3,2,14,2,1,2,2,2,1
167,0,3,1,1,0,4,8,0,7,3,1,13,2,2,2,0,0,0
168,0,2,0,0,0,4,6,1,6,2,0,2,2,1,2,1,2,0
169,0,2,1,1,1,4,6,1,6,3,2,11,2,1,2,2,2,1
170,0,2,0,1,1,4,6,1,1,1,0,13,2,2,2,2,3,1
171,0,2,1,1,0,4,6,1,6,3,0,13,2,1,2,2,2,1
172,0,2,1,0,0,4,6,0,5,3,0,14,3,1,3,3,2,1
173,0,2,1,1,1,4,6,0,1,0,0,3,2,1,2,2,2,1
174,0,2,0,1,1,4,6,1,1,2,2,13,2,1,2,2,2,1
175,0,3,1,1,1,4,7,1,7,3,0,2,2,2,2,1,2,1
176,0,2,1,1,0,3,5,1,7,2,2,0,4,2,0,4,4,0
177,0,2,0,0,1,4,8,1,0,1,0,4,2,1,2,2,2,1
178,0,2,1,1,1,4,6,1,6,0,2,2,3,2,4,4,0,1
179,0,3,1,1,1,4,6,1,1,1,0,3,3,1,3,2,3,0
180,0,2,0,1,0,2,5,1,6,1,2,1,3,1,2,1,3,0
181,0,2,0,0,1,4,6,1,5,3,2,13,4,2,2,2,2,1
182,0,2,1,0,0,4,6,1,1,3,0,13,2,1,2,2,2,0
183,0,3,1,0,1,2,6,1,1,3,0,13,4,2,2,2,2,1
184,0,2,0,0,1,4,2,1,5,3,2,3,2,1,2,2,2,1
185,0,3,1,1,1,4,6,1,7,3,2,13,3,1,2,1,2,0
186,0,3,0,0,1,4,5,0,1,3,1,13,1,2,1,2,0,0
187,0,2,1,0,1,0,6,0,7,1,2,1,2,2,2,2,2,0
188,0,2,0,1,1,4,6,1,4,1,0,7,2,1,2,2,2,1
189,0,2,1,1,0,4,7,1,7,2,2,3,3,1,2,3,2,0
190,0,3,1,1,1,0,0,1,5,3,0,3,2,1,2,3,0,1
191,0,2,0,1,0,2,6,1,1,1,0,3,3,2,1,2,2,1
192,0,2,1,1,1,1,5,1,5,3,2,1,3,1,2,3,0,1
193,0,2,0,0,1,4,6,1,1,3,1,13,2,1,2,2,2,1
194,0,3,1,1,1,2,5,1,4,3,2,1,4,1,3,3,0,1
195,0,2,1,0,0,4,6,0,1,1,2,3,2,1,2,2,2,1
196,0,2,1,1,1,4,6,1,1,3,0,13,2,2,3,1,2,1
197,0,2,0,1,1,0,6,0,0,2,2,1,3,1,2,1,1,1
198,0,2,1,1,1,4,2,1,1,3,2,19,2,1,2,2,2,1
199,0,2,0,1,1,4,8,0,0,1,0,3,2,1,2,2,2,1
200,0,3,0,0,1,0,5,1,4,0,0,0,2,1,2,2,2,0
201,0,2,0,1,0,4,8,1,0,2,2,1,1,2,4,0,4,0
