,Mode of Study,Level of Study,Gender,House Area,Are you take any loan/sponsorship?,Income per Month,Device used in doing online classes,Do you have any web camera?,Internet Access Facilities,Type of quota,Network Speed in your area,Network Service Provider,Stability of internet connection,How many people in your house?,Comfortability when doing online learning,Level of understanding in online learning.,Disruption level during online learning.,Which method of online learning do you prefer?
0,0,3,0,1,1,3,6,1,6,3,2,13,3,1,3,2,2,1
1,0,2,0,1,0,4,6,1,5,3,2,14,2,1,2,2,2,1
2,0,2,0,0,1,4,5,1,1,3,1,13,2,1,2,2,2,1
3,0,3,0,1,0,4,10,0,0,0,0,1,1,1,0,1,4,1
4,0,2,0,1,1,4,5,1,1,0,0,2,2,1,2,2,2,1
5,0,2,0,1,1,4,6,1,6,3,0,22,2,1,2,2,2,1
6,0,2,1,1,0,4,5,0,1,1,2,3,3,2,2,2,4,1
7,0,3,0,1,0,0,5,0,1,0,1,18,1,1,2,3,0,0
8,0,3,1,0,1,4,8,0,1,3,0,13,3,1,2,3,3,1
9,0,2,0,0,1,4,6,1,1,3,0,13,2,2,2,1,2,0
10,0,3,1,0,1,4,0,1,7,0,2,3,3,1,2,2,2,0
11,0,2,0,0,1,1,5,1,1,0,1,3,2,1,2,2,2,0
12,0,2,1,0,0,4,6,1,5,3,2,3,2,1,2,2,2,1
13,0,3,0,1,0,0,3,1,5,3,2,14,3,2,2,2,3,0
14,0,3,0,0,0,0,6,1,6,3,0,13,3,2,3,1,2,0
15,0,2,0,0,0,4,6,1,1,3,0,13,2,1,2,2,2,1
16,0,2,1,0,0,0,5,0,0,3,2,3,0,0,0,0,0,0
17,0,2,1,1,0,4,6,1,6,3,2,13,3,2,3,2,3,1
18,0,2,1,1,1,4,5,0,5,2,2,11,2,1,2,2,2,1
19,0,3,1,1,1,4,7,1,6,1,0,3,2,1,2,2,2,0
20,0,2,1,0,1,0,6,1,0,1,0,24,3,2,1,1,3,0
21,0,2,0,0,0,4,5,1,5,3,2,2,2,1,2,2,2,1
22,0,2,1,1,1,4,5,1,0,3,0,13,2,1,1,1,1,0
23,0,2,0,0,0,4,6,0,1,1,0,1,2,1,2,2,2,1
24,0,2,1,1,0,4,6,0,6,1,2,1,2,1,2,2,2,1
25,0,2,0,0,1,4,6,1,3,1,1,2,2,1,2,2,2,1
26,0,2,0,0,1,0,6,1,1,1,0,13,1,1,2,1,1,1
27,0,2,1,0,1,1,6,1,7,3,2,13,3,2,2,2,2,1
28,0,2,1,0,1,4,3,1,9,1,2,1,2,1,2,2,2,1
29,0,3,1,1,1,4,5,1,5,3,2,13,4,1,4,3,4,1
30,0,2,0,0,1,4,6,1,1,3,0,13,2,2,2,1,2,0
31,0,2,1,0,0,4,6,1,1,3,1,13,2,1,2,3,3,0
32,0,2,0,1,0,4,6,1,5,3,2,4,2,1,2,2,2,1
33,0,2,0,0,1,4,6,1,5,3,0,13,2,2,2,2,2,1
34,0,2,1,1,0,0,5,0,5,3,2,3,0,2,0,0,0,1
35,0,3,0,0,1,1,2,0,7,3,0,3,1,2,1,0,0,1
36,0,2,1,0,1,4,6,1,6,1,0,1,2,1,2,2,2,1
37,0,2,0,1,0,4,2,1,4,1,0,1,2,1,2,2,2,1
38,0,2,0,0,1,2,5,1,4,3,0,13,2,2,2,1,3,1
39,0,2,1,1,0,4,5,1,5,3,2,13,2,1,2,2,2,1
40,0,2,1,1,1,2,5,1,5,3,2,14,3,2,2,2,3,0
41,0,2,1,0,1,4,6,1,6,3,2,14,2,1,2,2,2,1
42,0,2,0,0,0,0,5,0,5,3,0,14,2,1,2,0,0,1
43,0,2,1,1,0,4,6,1,6,0,2,14,2,2,2,1,2,0
44,0,3,1,0,1,4,6,1,1,1,0,3,3,2,1,2,4,0
45,0,2,0,1,0,4,6,1,7,0,2,3,4,1,2,2,2,0
46,0,2,0,0,0,0,6,1,6,3,0,1,2,2,4,3,1,0
47,0,3,0,1,1,0,2,1,6,3,2,2,2,1,2,2,2,1
48,0,2,0,1,0,4,6,1,7,1,1,1,2,2,2,1,2,1
49,0,2,0,1,1,4,5,1,7,3,0,13,2,1,2,2,2,1
50,0,2,0,1,0,4,6,1,1,0,2,11,2,1,2,2,2,1
51,0,2,0,0,0,4,6,1,6,3,2,7,2,1,2,2,2,1
52,0,2,1,1,1,4,6,1,1,0,0,7,2,1,2,2,3,0
53,0,3,1,1,1,4,6,1,5,3,2,28,2,1,0,2,3,0
54,0,3,1,1,1,4,6,1,0,3,0,14,1,1,2,2,1,0
55,0,2,0,1,1,4,6,1,1,3,0,13,4,1,2,2,2,1
56,0,2,1,1,0,4,5,1,5,3,2,10,4,1,4,1,2,1
57,0,2,0,0,0,4,6,1,6,3,0,13,2,1,2,2,2,1
58,0,2,0,1,0,4,3,1,7,3,2,16,2,1,2,2,2,1
59,0,2,0,1,0,4,2,1,7,0,0,2,2,1,3,3,3,1
60,0,3,0,1,0,4,6,1,1,3,2,13,2,1,1,1,2,0
61,0,2,0,0,0,4,6,0,5,3,2,1,2,1,2,2,2,1
62,0,3,1,0,0,2,8,1,0,2,2,3,3,2,2,2,2,0
63,0,2,0,0,1,4,5,0,7,3,0,13,2,1,2,2,2,1
64,0,2,1,1,0,4,6,1,6,3,2,1,4,1,2,3,0,1
65,0,3,1,1,1,4,6,1,7,3,2,3,2,1,2,2,2,1
66,0,2,1,0,0,1,6,0,4,3,0,2,2,1,2,1,0,1
67,0,4,0,1,1,3,6,1,6,3,2,1,3,2,2,2,3,0
68,0,2,1,1,1,4,6,1,1,3,0,23,2,1,2,1,3,1
69,0,3,1,1,0,4,9,1,2,1,1,1,1,2,1,1,2,0
70,0,2,1,1,1,1,5,1,5,3,2,8,4,1,4,4,0,0
71,0,4,0,1,1,3,2,1,7,3,2,3,4,1,4,3,1,0
72,0,2,0,0,1,2,6,1,0,3,2,13,3,1,3,2,2,0
73,0,2,1,1,1,4,2,1,1,3,2,13,2,1,2,3,1,0
74,0,2,1,0,0,4,6,1,5,3,0,1,2,1,2,2,3,1
75,0,3,0,1,0,4,6,1,5,3,2,28,4,2,2,3,1,1
76,0,2,0,0,1,4,6,1,1,3,1,13,0,1,0,2,3,0
77,0,2,1,0,1,4,0,1,5,2,2,2,1,2,1,1,1,1
78,0,2,0,1,1,0,6,0,1,1,1,2,0,1,1,1,0,1
79,1,4,1,0,1,3,5,1,5,1,0,2,1,0,3,2,2,0
80,0,2,0,0,0,4,6,1,6,3,2,1,3,2,1,0,4,0
81,0,2,0,0,0,1,6,1,6,0,0,3,2,1,2,1,3,1
82,0,3,1,1,1,4,6,1,7,0,2,0,2,1,1,3,2,0
83,0,2,0,0,0,4,8,1,1,0,0,3,2,1,2,2,2,1
84,0,2,0,0,1,4,6,1,0,0,0,3,4,2,2,2,3,1
85,0,3,1,1,1,4,0,0,5,3,1,13,3,1,2,3,1,1
86,1,2,0,1,1,1,5,1,5,3,2,1,4,1,4,4,0,1
87,0,2,1,1,1,1,5,1,5,3,2,1,3,1,2,3,0,1
88,0,2,0,0,1,4,6,1,1,1,0,3,2,1,1,2,2,0
89,0,3,1,1,1,4,6,1,1,0,0,14,1,1,1,1,2,0
90,0,3,1,1,0,0,6,1,6,3,2,13,3,2,2,2,2,1
91,0,2,0,0,1,4,6,0,5,3,0,7,2,1,4,1,1,0
92,0,2,1,0,0,1,0,0,4,3,2,1,2,1,2,1,0,0
93,0,2,0,1,1,4,5,0,0,0,1,13,1,2,1,0,0,1
94,0,0,1,0,1,4,6,1,6,0,0,7,2,1,2,3,4,0
95,0,3,1,1,0,4,6,0,1,1,0,13,2,2,1,1,3,1
96,0,3,0,0,1,2,6,1,6,3,0,14,3,1,2,2,2,1
97,0,2,1,0,1,4,6,1,1,1,0,13,2,2,0,2,2,0
98,0,3,0,1,0,4,5,0,1,0,0,11,4,2,1,2,2,1
99,0,2,1,1,1,4,6,1,1,2,0,2,3,2,1,2,3,1
100,0,2,0,1,1,4,5,0,0,1,0,1,2,1,2,2,2,1
202,0,2,1,1,0,4,6,1,0,1,0,3,2,1,1,2,3,0
203,0,3,1,0,0,4,5,0,0,0,1,18,3,2,3,3,0,1
204,0,2,0,1,1,4,8,0,0,3,2,13,2,1,1,1,4,1
205,0,2,0,1,1,4,6,0,0,1,0,2,2,1,2,2,2,1
206,0,2,1,1,0,4,6,1,1,0,0,1,3,2,2,2,1,0
207,0,3,0,1,1,4,0,0,0,0,1,1,1,2,2,1,4,0
208,0,2,1,1,0,4,6,1,6,3,0,13,2,1,2,2,2,1
209,0,2,1,0,0,1,6,0,7,3,0,1,2,1,2,1,4,1
210,0,2,0,1,1,4,6,0,1,3,0,13,2,1,2,2,2,1
211,0,2,0,1,1,4,9,1,0,2,0,11,2,2,3,2,3,1
212,0,2,0,0,1,4,6,0,0,2,1,1,2,1,2,2,2,1
213,1,2,0,1,1,4,6,1,1,3,0,13,2,1,3,1,3,1
214,0,2,0,1,0,4,7,0,6,2,2,13,4,2,2,2,2,1
215,0,3,1,0,0,4,2,1,7,0,0,13,2,1,2,2,3,1
216,0,2,0,1,1,4,5,1,0,2,1,13,2,1,2,2,2,1
217,0,2,0,1,0,4,4,0,1,2,0,1,1,1,3,2,1,1
218,0,2,1,0,0,4,2,1,6,0,0,3,2,1,2,2,2,1
219,0,2,1,1,1,0,3,1,0,3,2,3,0,1,2,2,2,1
220,0,2,0,0,1,4,6,0,1,0,0,3,2,2,0,2,4,1
221,0,2,1,0,1,4,6,0,1,0,0,2,3,2,2,1,2,0
222,0,3,1,0,1,4,6,1,1,1,0,0,1,2,0,2,4,0
223,0,2,0,1,1,4,6,1,5,3,2,13,2,1,2,2,2,1
224,0,2,1,1,1,4,6,1,6,1,0,11,2,1,2,2,2,1
225,0,2,0,0,1,4,6,1,7,0,0,1,2,1,2,2,2,1
226,0,2,0,0,1,4,6,1,1,0,0,2,2,1,2,3,2,1
227,0,3,0,1,1,3,6,1,7,3,0,13,3,1,2,3,3,1
228,0,2,1,1,1,4,6,0,1,3,1,13,2,1,2,2,2,1
229,0,2,1,1,0,4,6,0,1,0,2,1,2,1,2,2,2,1
230,0,2,0,1,0,1,7,1,5,3,2,14,4,1,2,1,2,0
231,0,3,0,1,0,0,6,1,6,3,2,1,4,2,1,1,1,1
232,0,2,1,0,1,4,6,1,1,3,1,13,1,2,1,2,3,1
233,0,2,0,0,1,0,7,1,7,2,2,1,2,1,2,4,1,0
234,0,2,0,0,0,4,6,1,5,2,0,1,2,1,2,2,2,1
235,0,2,0,0,1,4,6,1,1,3,2,13,2,1,3,3,4,0
236,0,2,1,0,1,4,6,1,6,3,0,13,2,1,1,2,2,0
237,0,3,0,1,0,1,2,1,7,2,2,3,2,2,1,1,0,1
238,0,3,1,1,1,4,6,1,6,1,0,11,2,2,1,0,3,0
239,0,2,1,1,1,4,6,0,6,0,0,2,2,1,2,2,2,1
240,0,2,0,1,1,4,6,1,6,2,2,2,2,1,2,2,2,1
241,0,3,1,1,0,2,8,0,0,1,0,13,2,1,2,2,2,0
242,0,2,0,0,1,4,6,1,10,3,0,21,2,1,2,2,2,1
243,0,2,1,1,1,4,6,1,7,2,0,13,2,1,2,2,4,1
244,0,2,0,1,1,4,6,1,5,3,2,25,2,1,2,2,2,1
245,0,2,0,1,0,4,6,1,6,3,2,18,2,1,2,2,2,1
246,0,2,0,1,1,3,6,1,6,1,2,3,3,1,2,1,2,0
247,0,2,1,0,1,2,8,1,5,3,0,2,1,2,1,0,4,0
248,0,2,0,1,0,4,6,1,6,3,2,12,2,1,2,2,2,1
249,0,2,0,0,1,4,6,1,7,1,1,3,2,1,2,2,2,1
250,0,2,0,1,0,1,6,1,7,3,2,1,3,2,1,2,2,0
251,1,2,0,0,1,3,10,1,1,2,0,0,2,1,4,4,4,0
252,0,2,1,0,1,4,8,1,5,3,2,0,3,2,3,2,1,1
253,0,2,0,1,1,0,4,1,3,1,1,3,1,1,2,1,2,1
254,0,2,1,0,0,4,6,1,1,1,2,3,3,2,2,2,4,1
255,0,2,0,0,1,4,6,0,1,3,0,13,2,1,2,2,2,1
256,0,2,1,0,0,4,6,1,6,0,0,11,2,1,2,2,2,1
257,0,2,0,0,0,4,6,1,1,1,0,2,2,1,3,3,2,1
258,0,3,1,1,0,2,5,1,7,3,0,2,2,1,2,2,2,1
259,0,4,1,0,0,4,5,1,5,3,0,13,3,2,2,2,2,1
260,0,2,0,1,1,4,6,1,0,3,0,1,2,1,2,2,2,1
261,0,3,1,1,1,4,3,1,6,2,0,1,2,2,2,1,2,0
262,0,2,1,1,1,4,6,1,6,1,0,2,2,1,2,3,2,0
